epoch    transactions         link-changes        
531      517                  1                   
532      616                  1                   
533      473                  1                   
534      533                  1                   
535      1107                 1                   
536      798                  1                   
537      850                  1                   
538      327                  1                   
539      1114                 1                   
540      1259                 1                   
541      567                  1                   
542      382                  1                   
543      705                  1                   
544      751                  1                   
545      581                  1                   
546      371                  1                   
547      920                  1                   
548      867                  1                   
549      700                  1                   
550      827                  1                   
551      421                  1                   
552      489                  1                   
553      762                  1                   
554      428                  1                   
555      197                  1                   
556      505                  1                   
557      438                  1                   
558      441                  1                   
559      482                  1                   
560      680                  1                   
561      172                  1                   
562      553                  1                   
563      452                  1                   
564      670                  1                   
565      540                  1                   
566      586                  1                   
567      472                  1                   
568      475                  1                   
569      299                  1                   
570      441                  1                   
571      283                  1                   
572      344                  1                   
573      574                  1                   
574      668                  1                   
575      450                  1                   
576      321                  1                   
577      630                  1                   
578      579                  1                   
579      658                  1                   
580      656                  1                   
581      567                  1                   
582      949                  1                   
583      566                  1                   
584      853                  1                   
585      634                  1                   
586      857                  1                   
587      661                  1                   
588      512                  1                   
589      487                  1                   
590      983                  1                   
591      738                  1                   
592      703                  1                   
593      552                  1                   
594      824                  1                   
595      910                  1                   
596      760                  1                   
597      775                  1                   
598      1212                 1                   
599      1771                 1                   
600      1621                 1                   
601      1229                 1                   
602      1247                 1                   
603      789                  1                   
604      1075                 1                   
605      851                  1                   
606      335                  1                   
607      1018                 1                   
608      866                  1                   
609      972                  1                   
610      721                  1                   
611      590                  1                   
612      725                  1                   
613      864                  1                   
614      535                  1                   
615      1066                 1                   
616      886                  1                   
617      1374                 1                   
618      498                  1                   
619      573                  1                   
620      1032                 1                   
621      1222                 1                   
622      492                  1                   
623      498                  1                   
624      629                  1                   
625      548                  1                   
626      513                  1                   
627      456                  1                   
628      674                  1                   
629      458                  1                   
630      379                  1                   
631      466                  1                   
632      506                  1                   
633      459                  1                   
634      719                  1                   
635      279                  1                   
636      557                  1                   
637      588                  1                   
638      442                  1                   
639      878                  1                   
640      812                  1                   
641      1545                 1                   
642      2161                 1                   
643      1263                 1                   
644      953                  1                   
645      2055                 1                   
646      999                  1                   
647      565                  1                   
648      521                  1                   
649      815                  1                   
650      556                  1                   
651      420                  1                   
652      761                  1                   
653      1334                 1                   
654      564                  1                   
655      518                  5369                
656      448                  11243               
657      492                  12907               
658      628                  13728               
659      614                  15758               
660      359                  15904               
661      380                  19469               
662      499                  18635               
663      977                  18115               
664      608                  14025               
665      483                  11094               
666      683                  10878               
667      860                  10778               
668      537                  15189               
669      420                  11071               
670      627                  13340               
671      1159                 12868               
672      1133                 14042               
673      787                  9873                
674      554                  0                   
675      540                  0                   
676      649                  0                   
677      886                  0                   
678      1003                 0                   
679      659                  0                   
680      550                  0                   
681      622                  0                   
682      671                  0                   
683      678                  0                   
684      1124                 0                   
685      738                  0                   
686      552                  0                   
687      852                  0                   
688      541                  0                   
689      566                  0                   
690      565                  0                   
691      559                  0                   
692      522                  0                   
693      636                  0                   
694      605                  0                   
695      702                  0                   
696      682                  0                   
697      822                  0                   
698      1217                 0                   
699      900                  0                   
700      909                  0                   
701      770                  0                   
702      1105                 0                   
703      547                  0                   
704      671                  0                   
705      1008                 0                   
706      689                  0                   
707      557                  0                   
708      1751                 0                   
709      1443                 0                   
710      1096                 0                   
711      611                  0                   
712      485                  0                   
713      846                  0                   
714      1190                 0                   
715      621                  0                   
716      1238                 0                   
717      1329                 0                   
718      931                  0                   
719      682                  0                   
720      693                  0                   
721      645                  0                   
722      891                  0                   
723      634                  0                   
724      439                  0                   
725      935                  0                   
726      967                  0                   
727      606                  0                   
728      514                  0                   
729      6197                 0                   
730      739                  0                   
731      868                  0                   
732      614                  0                   
733      458                  0                   
734      738                  0                   
735      612                  0                   
736      555                  0                   
737      804                  0                   
738      720                  0                   
739      634                  0                   
740      790                  0                   
741      442                  0                   
742      390                  0                   
743      720                  0                   
744      491                  0                   
745      467                  0                   
746      690                  0                   
747      513                  0                   
748      497                  0                   
749      531                  0                   
750      539                  0                   
